Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Edu,Faaliat,T.shaghel,T.M.S,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
11301159207,13,4,1,37,1,2,6,1,1,1,4,80,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,4569500,NA,640000,8650000,60000,2640000,1680000,8.00E+05,2.00E+05,NA,220000,3.92E+08,NA,NA,21840000
11301159211,13,3,1,34,1,2,2,1,1,3,3,65,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5696300,1550000,410000,3630000,2950000,720000,1060000,5.00E+05,1.00E+05,NA,450000,1.74E+08,NA,NA,16380000
11301159214,13,2,1,87,2,NA,NA,1,1,1,3,80,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,22887000,NA,NA,2200000,795000,5950000,1.00E+06,70000,NA,NA,70000,NA,6.45E+08,287200000,10920000
11301159217,13,2,2,75,2,NA,NA,3,NA,1,3,60,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,1785000,NA,NA,7.00E+06,453000,3580000,650000,6.00E+05,NA,NA,260000,NA,NA,27300000,10920000
11301159220,13,4,1,42,1,2,2,1,1,3,3,70,3,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,6015000,9.00E+05,80000,4400000,465000,34100000,640000,1.00E+05,NA,NA,630000,1.68E+08,NA,8400000,21840000
11301159223,13,4,1,42,1,2,2,1,1,6,3,120,3,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,4,14,24,12035200,NA,1460000,5830000,2270000,1555000,2385000,440000,350000,3.00E+05,1730000,NA,3.13E+08,4.00E+06,21840000
11302159308,13,2,1,65,2,NA,NA,1,2,1,5,180,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,7129000,NA,250000,7150000,470000,1140000,1.00E+06,350000,NA,NA,150000,9.00E+07,91900000,1350000,10920000
11302159310,13,5,1,43,1,2,2,1,1,1,3,140,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5411000,1200000,NA,3650000,230000,160000,60000,7.00E+05,NA,NA,265000,1.08E+08,NA,2800000,27300000
11302159314,13,4,1,38,1,2,4,1,2,1,4,100,3,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,5884308,NA,2400000,7700000,2430000,2305000,550000,3.00E+05,1315000,120000,2250000,224800000,1.40E+07,5800000,21840000
11302159318,13,4,1,45,1,2,1,1,2,3,3,70,3,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,4,14,24,7413000,3150000,NA,3900000,135000,450000,320000,NA,80000,NA,1.00E+05,NA,4.70E+07,2700000,21840000
